unitid,control,year,efdeexc
102845,3,2016,463
102845,3,2017,644
102845,3,2018,736
102845,3,2019,606
102845,3,2020,440
103361,1,2012,179
103361,1,2013,239
103361,1,2014,
103501,3,2012,
103501,3,2013,
103501,3,2014,
103501,3,2015,
103501,3,2016,
103501,3,2017,
103501,3,2018,
103501,3,2019,
103501,3,2020,
103529,1,2012,
103529,1,2013,
103529,1,2014,
103529,1,2015,
103529,1,2016,
103529,1,2017,
103529,1,2018,
103529,1,2019,
103529,1,2020,
103644,3,2012,1027
103644,3,2013,2133
103644,3,2014,3614
103644,3,2015,
103723,3,2012,7
103723,3,2013,5
103723,3,2014,0
103723,3,2015,0
103732,3,2012,
103732,3,2013,0
103732,3,2014,0
103732,3,2015,
103741,3,2012,
103741,3,2013,0
103741,3,2014,0
103741,3,2015,
103741,3,2016,
103741,3,2017,
103741,3,2018,
103741,3,2019,
103741,3,2020,
103778,2,2012,0
103778,2,2013,0
103778,2,2014,293
103778,1,2015,133
103778,1,2016,26
103778,1,2017,0
103778,1,2018,
103787,2,2012,2
103787,2,2013,4
103787,2,2014,8
103787,2,2015,11
103787,2,2016,
103811,3,2012,0
103811,3,2013,0
103811,3,2014,0
103811,3,2015,
103811,3,2016,
103811,3,2017,
103811,3,2018,
103893,3,2012,14
103893,3,2013,16
103893,3,2014,2
103893,3,2015,33
103893,3,2016,41
103893,3,2017,33
103893,3,2018,0
103893,3,2019,40
103893,3,2020,94
103909,3,2012,9
103909,3,2013,8
103909,3,2014,1
103909,3,2015,1
103909,3,2016,1
103909,3,2017,0
103909,3,2018,0
103909,3,2019,
103909,3,2020,0
103927,3,2012,15
103927,3,2013,1
103927,3,2014,
103927,3,2015,0
103927,3,2016,0
103927,3,2017,1
103927,3,2018,0
103927,3,2019,
103927,3,2020,0
103945,3,2012,
103945,2,2013,
103945,2,2014,
103945,2,2015,
103945,2,2016,
103945,2,2017,0
103945,2,2018,0
103945,2,2019,0
103945,2,2020,0
103954,3,2012,0
103954,3,2013,0
103954,3,2014,0
103954,3,2015,
103954,3,2016,
103954,3,2017,
103954,3,2018,
103954,3,2019,
103954,3,2020,
103963,3,2012,0
103963,3,2013,0
103963,3,2014,0
103963,3,2015,
103963,3,2016,
103963,3,2017,
103963,3,2018,
103963,3,2019,
103963,3,2020,
104090,3,2012,104
104090,3,2013,411
104090,3,2014,592
104090,3,2015,502
104090,3,2016,576
104090,3,2017,465
104090,3,2018,349
104090,3,2019,324
104090,3,2020,473
104151,1,2012,7444
104151,1,2013,831
104151,1,2014,895
104151,1,2015,1032
104151,1,2016,1031
104151,1,2017,368
104151,1,2018,268
104151,1,2019,322
104151,1,2020,8479
104160,1,2012,2711
104160,1,2013,3158
104160,1,2014,1012
104160,1,2015,935
104160,1,2016,1263
104160,1,2017,1404
104160,1,2018,1379
104160,1,2019,1547
104160,1,2020,1895
104179,1,2012,1068
104179,1,2013,1345
104179,1,2014,1693
104179,1,2015,1936
104179,1,2016,2579
104179,1,2017,3394
104179,1,2018,4242
104179,1,2019,5073
104179,1,2020,7280
104188,3,2012,
104188,3,2013,
104188,3,2014,
104188,3,2015,
104188,3,2016,
104188,3,2017,
104188,3,2018,
104188,2,2019,
104188,2,2020,
104294,3,2012,0
104294,3,2013,0
104346,1,2012,1553
104346,1,2013,1310
104346,1,2014,1172
104346,1,2015,1221
104346,1,2016,1151
104346,1,2017,1169
104346,1,2018,1071
104346,1,2019,363
104346,1,2020,1324
104364,3,2012,0
104364,3,2013,
104364,3,2014,
104364,3,2015,
104364,3,2016,
104364,3,2017,
104391,3,2012,0
104391,3,2013,0
104391,3,2014,0
104391,3,2015,
104391,3,2016,
104391,3,2017,
104391,3,2018,
104391,3,2019,
104391,3,2020,
104425,1,2012,871
104425,1,2013,842
104425,1,2014,794
104425,1,2015,905
104425,1,2016,972
104425,1,2017,999
104425,1,2018,976
104425,1,2019,994
104425,1,2020,1516
104434,3,2012,
104434,3,2013,0
104434,3,2014,0
104434,3,2015,
104434,3,2016,
104434,3,2017,
104434,3,2018,
104434,3,2019,
104434,3,2020,
104443,3,2012,0
104443,3,2013,0
104443,3,2014,0
104443,3,2015,
104443,3,2016,
104443,3,2017,
104443,3,2018,
104443,3,2019,
104443,3,2020,
104504,3,2012,0
104504,3,2013,0
104504,3,2014,0
104504,3,2015,
104504,3,2016,
104504,3,2017,
104504,3,2018,
104504,3,2019,
104531,3,2012,339
104531,3,2013,
104568,3,2012,0
104568,3,2013,0
104568,3,2014,0
104568,3,2015,
104568,3,2016,
104568,3,2017,
104568,3,2018,
104568,3,2019,
104568,3,2020,0
104577,1,2012,270
104577,1,2013,282
104577,1,2014,344
104577,1,2015,270
104577,1,2016,263
104577,1,2017,299
104577,1,2018,241
104577,1,2019,285
104577,1,2020,435
104586,2,2012,7
104586,2,2013,10
104586,2,2014,12
104586,2,2015,9
104586,2,2016,6
104586,2,2017,8
104586,2,2018,9
104586,2,2019,5
104586,2,2020,123
104665,2,2012,
104665,2,2013,
104665,2,2014,
104665,2,2015,
104665,2,2016,
104665,2,2017,
104665,2,2018,
104665,2,2019,
104665,2,2020,5
104708,1,2012,1123
104708,1,2013,1180
104708,1,2014,1267
104708,1,2015,1359
104708,1,2016,1351
104708,1,2017,1372
104708,1,2018,1321
104708,1,2019,1569
104708,1,2020,5349
104717,3,2012,28417
104717,3,2013,45496
104717,3,2014,49685
104717,3,2015,54118
104717,3,2016,58779
104717,3,2017,64551
104717,3,2018,70295
104717,3,2019,75277
104717,3,2020,85087
104805,3,2012,1429
104805,3,2013,1667
104805,3,2014,
104911,3,2012,0
104911,3,2013,0
104911,3,2014,0
104911,3,2015,
104911,3,2016,
104911,3,2017,
104984,3,2012,
105118,3,2012,0
105118,3,2013,
105118,3,2014,
105127,3,2012,
105136,1,2012,
105136,1,2013,
105136,1,2014,
105136,1,2015,
105136,1,2016,
105136,1,2017,
105136,1,2018,
105136,1,2019,
105136,1,2020,
105145,1,2012,399
105145,1,2013,466
105145,1,2014,362
105145,1,2015,405
105145,1,2016,315
105145,1,2017,336
105145,1,2018,350
105145,1,2019,381
105145,1,2020,1670
105154,1,2012,2563
105154,1,2013,2766
105154,1,2014,2651
105154,1,2015,2496
105154,1,2016,2499
105154,1,2017,2649
105154,1,2018,2903
105154,1,2019,3127
105154,1,2020,5895
105163,3,2012,
105163,3,2013,
105163,3,2014,
105163,3,2015,
105163,3,2016,
105163,3,2017,
105172,3,2012,
105172,3,2013,
105172,3,2014,
105172,3,2015,
105172,3,2016,
105172,3,2017,
105206,1,2012,793
105206,1,2013,76
105206,1,2014,778
105206,1,2015,813
105206,1,2016,806
105206,1,2017,962
105206,1,2018,948
105206,1,2019,895
105206,1,2020,3654
105215,3,2012,0
105215,3,2013,0
105215,3,2014,0
105215,3,2015,
105215,3,2016,
105215,3,2017,
105215,3,2018,
105215,3,2019,
105215,3,2020,
105297,1,2012,125
105297,1,2013,114
105297,1,2014,109
105297,1,2015,245
105297,1,2016,117
105297,1,2017,201
105297,1,2018,0
105297,1,2019,39
105297,1,2020,1241
105330,1,2012,7355
105330,1,2013,4487
105330,1,2014,5101
105330,1,2015,5933
105330,1,2016,6402
105330,1,2017,6594
105330,1,2018,6304
105330,1,2019,6183
105330,1,2020,6363
105349,1,2012,493
105349,1,2013,368
105349,1,2014,267
105349,1,2015,439
105349,1,2016,547
105349,1,2017,1758
105349,1,2018,974
105349,1,2019,932
105349,1,2020,1518
105367,2,2012,280
105367,2,2013,212
105367,2,2014,248
105367,2,2015,232
105367,2,2016,296
105367,2,2017,440
105367,2,2018,401
105367,2,2019,768
105367,2,2020,783
105428,1,2012,1326
105428,1,2013,1425
105428,1,2014,1297
105428,1,2015,1366
105428,1,2016,1326
105428,1,2017,1524
105428,1,2018,1584
105428,1,2019,1689
105428,1,2020,3995
105482,3,2012,0
105482,3,2013,0
105482,3,2014,0
105482,3,2015,
105482,3,2016,
105482,3,2017,
105482,3,2018,
105482,3,2019,
105516,3,2012,0
105516,3,2013,0
105516,3,2014,
105525,1,2012,3798
105525,1,2013,3617
105525,1,2014,3303
105525,1,2015,3141
105525,1,2016,3205
105525,1,2017,3519
105525,1,2018,3035
105525,1,2019,3611
105525,1,2020,4557
105534,3,2012,526
105534,3,2013,599
105534,3,2014,788
105534,3,2015,881
105534,3,2016,1055
105534,3,2017,319
105534,3,2018,262
105534,3,2019,855
105534,3,2020,431
105543,3,2012,11
105543,3,2013,16
105543,3,2014,25
105543,3,2015,28
105543,3,2016,
105543,3,2017,0
105543,3,2018,0
105543,3,2019,0
105543,3,2020,0
105589,2,2012,0
105589,2,2013,0
105589,2,2014,190
105589,2,2015,197
105589,2,2016,132
105589,2,2017,410
105589,2,2018,535
105589,2,2019,649
105589,2,2020,694
105659,3,2012,0
105659,3,2013,0
105659,3,2014,0
105659,3,2015,0
105659,3,2016,0
105659,3,2017,33
105659,3,2018,12
105659,3,2019,0
105659,3,2020,0
105668,1,2012,16235
105668,1,2013,12821
105668,1,2014,11866
105668,1,2015,11591
105668,1,2016,10815
105668,1,2017,10268
105668,1,2018,10146
105668,1,2019,9669
105668,1,2020,8677
105677,3,2012,0
105677,3,2013,0
105677,3,2014,0
105677,3,2015,
105677,3,2016,
105677,3,2017,
105677,3,2018,
105677,3,2019,
105677,3,2020,
105701,3,2012,0
105701,3,2013,0
105701,3,2014,0
105701,3,2015,
105701,3,2016,
105701,3,2017,
105747,1,2012,756
105747,1,2013,810
105747,1,2014,839
105747,1,2015,929
105747,1,2016,865
105747,1,2017,982
105747,1,2018,960
105747,1,2019,1145
105747,1,2020,2530
105792,1,2012,145
105792,1,2013,245
105792,1,2014,217
105792,1,2015,243
105792,1,2016,243
105792,1,2017,241
105792,1,2018,331
105792,1,2019,459
105792,1,2020,1069
105899,2,2012,
105899,2,2013,
105899,2,2014,0
105899,2,2015,1
105899,2,2016,0
105899,2,2017,11
105899,2,2018,37
105899,2,2019,109
105899,2,2020,104
105987,3,2012,0
105987,3,2013,
105987,3,2014,
105987,3,2015,
105987,3,2016,
105987,3,2017,
106041,3,2012,
106041,3,2013,
106041,3,2014,
106041,3,2015,
106041,3,2016,
106041,3,2017,
